"DisplayName","SystemId","HasVideoHQ"
"Sony Playstation 2","Sony_Playstation_2","True"
"Sony PlayStation 3","Sony_PlayStation_3","True"
"Sony PlayStation 4","Sony_PlayStation_4","False"
"Sony PlayStation Vita","Sony_PlayStation_Vita","True"
"Sony PocketStation","Sony_PocketStation","True"
"Sony PSP","Sony_PSP","True"
"Sony PSP Minis","Sony_PSP_Minis","True"
"Sord M5","Sord_M5","True"
"Spectravideo","Spectravideo","False"
"Taito Classics","Taito_Classics","True"
"Tandy TRS-80","Tandy_TRS_80","False"
"Tandy TRS-80 CoCo","Tandy_TRS_80_CoCo","True"
"Tangerine Oric","Tangerine_Oric","False"
"Texas Instruments TI 99/4A","Texas_Instruments_TI_99_4A","False"
"Tiger Game.com","Tiger_Game_com","True"
"Tiger Handheld Electronics","Tiger_Handheld_Electronics","True"
"Tomy Tutor","Tomy_Tutor","False"
"Touhou Project","Touhou_Project","True"
"Vector-06C","Vector_06C","False"
"Visual Pinball","Visual_Pinball","True"
"VTech CreatiVision","VTech_CreatiVision","True"
"Vtech Socrates","Vtech_Socrates","False"
"Watara Supervision","Watara_Supervision","True"
"Williams Classics","Williams_Classics","False"
"WoW Action Max","WoW_Action_Max","True"
"ZiNc","ZiNc","True"
